experiment,strategy,unfreeze_last_n,trainable_params,marker,F1,Precision,Recall
exp01a_full,Full FT,6,66364418,Action,0.2324,0.2216,0.2443
exp01a_full,Full FT,6,66364418,Actor,0.4362,0.4371,0.4354
exp01a_full,Full FT,6,66364418,Effect,0.2368,0.2322,0.2415
exp01a_full,Full FT,6,66364418,Evidence,0.223,0.2199,0.2263
exp01a_full,Full FT,6,66364418,Victim,0.3298,0.3476,0.3138
exp01a_full,Full FT,6,66364418,AGGREGATE_micro,0.3046,0.3017,0.3075
exp01a_full,Full FT,6,66364418,AGGREGATE_macro,0.2916,,
exp01b_unfreeze4,Unfreeze 4,4,28353026,Action,0.1996,0.1974,0.2017
exp01b_unfreeze4,Unfreeze 4,4,28353026,Actor,0.3925,0.3815,0.4043
exp01b_unfreeze4,Unfreeze 4,4,28353026,Effect,0.1994,0.2045,0.1946
exp01b_unfreeze4,Unfreeze 4,4,28353026,Evidence,0.1849,0.1958,0.1752
exp01b_unfreeze4,Unfreeze 4,4,28353026,Victim,0.2896,0.3192,0.2651
exp01b_unfreeze4,Unfreeze 4,4,28353026,AGGREGATE_micro,0.269,0.2728,0.2653
exp01b_unfreeze4,Unfreeze 4,4,28353026,AGGREGATE_macro,0.2532,,
exp01c_linear,Linear Probe,0,1538,Action,0.0315,0.1616,0.0174
exp01c_linear,Linear Probe,0,1538,Actor,0.1952,0.3065,0.1432
exp01c_linear,Linear Probe,0,1538,Effect,0.0054,0.05,0.0028
exp01c_linear,Linear Probe,0,1538,Evidence,0.0057,0.0952,0.0029
exp01c_linear,Linear Probe,0,1538,Victim,0.0363,0.1846,0.0201
exp01c_linear,Linear Probe,0,1538,AGGREGATE_micro,0.0841,0.2601,0.0502
exp01c_linear,Linear Probe,0,1538,AGGREGATE_macro,0.0548,,
